,uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,categories,relevance_score,locale
0,8fa36dcd-e79d-49a4-b75b-dfb3e63873d0,Injured Vancouver Canucks captain Quinn Hughes to miss 4 Nations for U.S.,The United States will not have star defenceman Quinn Hughes in the lineup at the upcoming 4 Nations Face-Off. The Vancouver Canucks captain has been ruled o...,,"The United States will not have star defenceman Quinn Hughes in the lineup at the upcoming 4 Nations Face-Off.

The Vancouver Canucks captain has been ruled out...",https://www.cbc.ca/news/canada/british-columbia/canucks-hughes-4-nations-decision-play-injury-1.7454876?cmp=rss,https://i.cbc.ca/1.7454877.1739144796!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_1180/canucks-hockey.jpg?im=Resize%3D620,en,2025-02-10 00:09:44+00:00,cbc.ca,['general'],,ca
1,d20d0ccf-0ebb-4a8e-ba7f-b62da2e03aad,Kendrick Lamar to perform Super Bowl halftime show one week after 5 Grammy wins,What to expect as Kendrick Lamar performs at the 2025 Super Bowl in New Orleans. See who is performing with him and what we’ve learned so far about the show.,,"February has already been a big month for Kendrick Lamar, who is also coming off of a particularly hot 2024.

And on Sunday night, he will take the stage at the...",https://www.nbcnews.com/pop-culture/pop-culture-news/kendrick-lamar-super-bowl-halftime-show-rcna190313,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250204-kendrick-lamar-vl-1223p-f1cf0d.jpg",en,2025-02-09 23:38:09+00:00,nbcnews.com,"['general', 'politics']",,us
2,2990adda-5a8b-42c1-9836-710abd17f658,Doug Ford's trip to Washington ignites fresh round of criticism,Ontario PC Leader Doug Ford’s two-day trip to Washington this week in the middle of the provincial election has sparked a fresh round of criticism from other ...,,Ontario PC Leader Doug Ford's two-day trip to Washington this week in the middle of the provincial election has sparked a fresh round of criticism from other ma...,https://www.cbc.ca/news/canada/toronto/ford-washington-trip-critcism-ontario-election-1.7454865?cmp=rss,https://i.cbc.ca/1.7447610.1738356239!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_1180/elxn-ont-20250131.jpg?im=Resize%3D620,en,2025-02-09 23:36:59+00:00,cbc.ca,['general'],,ca
3,e08560c3-750d-4703-b128-49662c5ef459,"Trump announces blanket tariffs on steel and aluminum, reciprocal tariffs on other countries","President Donald Trump said that he'll announce reciprocal tariffs, including 25% on steel and aluminum imports amid trade disputes with Canada, Mexico and Chin...",,,https://www.nbcnews.com/politics/white-house/trump-tariffs-steel-aluminum-reciprocal-rcna191401,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250309-donald-trump-wm-241p-0bc19f.jpg",,2025-02-09 23:36:00+00:00,nbcnews.com,"['general', 'politics']",,
4,1e4fa466-2513-4213-a45f-9b984cf3aaa6,Canada's Shapovalov beats Norway's Ruud in Dallas Open final for 3rd ATP title of career,"Canada's Denis Shapovalov beat Norway's Casper Ruud 7-6 (5), 6-3 in the final of the Dallas Open on Sunday. Shapovalov, from Richmond Hill, Ont., had a 13-5 edg...",,,https://www.cbc.ca/sports/tennis/shapovalov-wins-dallas-open-final-feb-9-1.7454834?cmp=rss,https://i.cbc.ca/1.7454858.1739141206!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/2198588269.jpg?im=Resize%3D620,,2025-02-09 23:15:19+00:00,cbc.ca,['sports'],,
5,20cfa7d6-8f48-48dd-a3c8-cd7f583ce554,Legal experts warn of 'constitutional crisis' as Vance and Elon Musk question judges' authority over Trump,Legal and constitutional experts on Sunday warned that the U.S. could be headed toward a,,,https://www.nbcnews.com/politics/white-house/legal-experts-constitutional-crisis-vance-musk-judicial-rulings-trump-rcna191387,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-12/241226-Musk-Trump-Vance-aa-1136-28dcba.jpg",,2025-02-09 23:00:47+00:00,nbcnews.com,"['general', 'politics']",,
6,5c6fde7c-9afe-4c56-acf5-cdbf6632d9c7,Philadelphia leads Kansas City 17-0 in Super Bowl,Kansas City is trying to become the 1st team to win 3 straight Super Bowls.,,,https://www.cbc.ca/sports/football/nfl/philadelphia-leads-kansas-city-17-0-in-super-bowl-1.7454842?cmp=rss,https://i.cbc.ca/1.7454880.1739146187!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_1180/aptopix-super-bowl-football.jpg?im=Resize%3D620,,2025-02-09 22:54:34+00:00,cbc.ca,['general'],,
7,868a2b19-0ac6-4530-88b6-f7adde109d6b,"Arendz, Wilkie lead Canada to 12.5 km standing gold medals at Para biathlon worlds","Mark Arendz and Natalie Wilkie were victorious at the Para biathlon world championships on Sunday in Pokljuka, Slovakia, while fellow Canadian Derek Zaplotinsky...",,,https://www.cbc.ca/sports/paralympics/winter-sports/para-biathlon/arendz-wilkie-zaplotinsky-medals-para-biathlon-world-championships-1.7454853?cmp=rss,https://i.cbc.ca/1.7454856.1739141415!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/arendz-wilkie-para-biathlon-1180.jpg?im=Resize%3D620,,2025-02-09 22:50:32+00:00,cbc.ca,['sports'],,
8,f741fa71-0cec-49cc-8166-053060337ccb,"Winnipeg's 3rd Lunar New Year hockey tournament renews pride in culture, sport",Four teams of adult athletes laced up their skates to play in a hockey club’s third annual tournament celebrating the Lunar New Year while promoting diversity...,,,https://www.cbc.ca/news/canada/manitoba/winnipeg-inclusive-hockey-tournament-1.7454818?cmp=rss,https://i.cbc.ca/1.7454836.1739139242!/fileImage/httpImage/image.jpeg_gen/derivatives/16x9_1180/ray-camphu.jpeg?im=Resize%3D620,,2025-02-09 22:21:25+00:00,cbc.ca,['general'],,
9,e9c873e6-be5e-4890-a7ec-a6e09df9d6d1,"More winter storms expected to blanket northern U.S., Eagles and Chiefs face off in Super Bowl LIX: Weekend Rundown",Democrats are struggling to keep up with the pace of Trump's executive orders. And the Chiefs attempt a Super Bowl three-peat tonight against the Eagles.,,,https://www.nbcnews.com/news/weekend-rundown-feb-9-rcna191291,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250208-boston-snow-ch-1221-5986cd.jpg",,2025-02-09 22:14:19+00:00,nbcnews.com,"['general', 'politics']",,
10,a12c27fb-0318-4a84-a56b-7970f316bd42,"Impaired driving suspected after pedestrian dies in Abbotsford, B.C.",Abbotsford police say they have arrested a suspected impaired driver after a pedestrian was killed in a collision on Sunday morning.,,,https://www.cbc.ca/news/canada/british-columbia/abbotsford-impaired-driving-pedestrian-1.7454801?cmp=rss,https://i.cbc.ca/1.7454807.1739138019!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_1180/abbotsford-fatal-collision.JPG?im=Resize%3D620,,2025-02-09 22:07:36+00:00,cbc.ca,['general'],,
11,eb07b15f-52ae-4fd4-b142-48febddb6692,Winter murals in Summerside have added surprise thanks to augmented reality,"Summerside is hoping to attract more people to its downtown during the winter months with a series of art displays that come to life — well, almost.",,,https://www.cbc.ca/news/canada/prince-edward-island/pei-summerside-artwork-murals-augmented-reality-1.7454815?cmp=rss,https://i.cbc.ca/1.7454825.1739136629!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/augmented-reality-murals-in-summerside.jpg?im=Resize%3D620,,2025-02-09 21:58:00+00:00,cbc.ca,['general'],,
12,b9222085-8ee3-4e5d-8373-110667147381,The Sheshatshiu Innu School expansion includes a new Innu culture and language classroom,"With two new extensions, Sheshatshiu Innu School is offering more space for cultural programming, and helping classrooms feel less crowded.",,,https://www.cbc.ca/news/canada/newfoundland-labrador/sheshatshiu-school-expands-1.7452809?cmp=rss,https://i.cbc.ca/1.7452843.1738937873!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/ribbon-cutting-shesh.jpg?im=Resize%3D620,,2025-02-09 21:30:00+00:00,cbc.ca,['general'],,
13,1e401af8-4a6f-4c42-910f-bffba8fcad7c,Smoke seen coming from building near Paradise town hall,Fire crews are at the scene after smoke was seen coming from a building near Paradise town hall on Sunday afternoon.,,,https://www.cbc.ca/news/canada/newfoundland-labrador/smoke-paradise-1.7454799?cmp=rss,https://i.cbc.ca/1.7454803.1739134531!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/smoke-paradise.jpg?im=Resize%3D620,,2025-02-09 21:12:41+00:00,cbc.ca,['general'],,
14,a22ef26a-7ccc-4757-8cc5-ab1092a96458,Israeli delegation in Qatar for Gaza ceasefire talks,"An Israel delegation arrived in Qatar on Sunday for more Gaza truce talks, Prime Minister Benjamin Netanyahu’s spokesperson said, as its military withdrew fro...",,,https://www.nbcnews.com/news/world/israeli-delegation-qatar-gaza-ceasefire-talks-rcna191393,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-01/250122-gaza-aid-mb-1055-ad137f.jpg",,2025-02-09 21:08:40+00:00,nbcnews.com,"['general', 'politics']",,
15,36284f9b-5c36-4d26-a061-1c8e0e89bc2e,One person charged with cocaine trafficking after RCMP search of Yellowknife apartment,"Police seized over $8,000 in cash, a pistol, substances used in drug production and drug paraphernalia during the Friday search, RCMP said in a Sunday news rele...",,,https://www.cbc.ca/news/canada/north/person-charged-drug-search-yellowknife-1.7454796?cmp=rss,https://i.cbc.ca/1.6125694.1736547997!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/rcmp-cruiser-yellowknife.jpg?im=Resize%3D620,,2025-02-09 21:03:48+00:00,cbc.ca,['general'],,
16,2434df4f-e4b6-4dfc-aec5-841431262d41,"Palliative care co-ordinator in P.E.I. recognized for efforts to educate health workers, community",Susan Doucette was recently awarded a King Charles III Coronation Medal for her leadership in advancing palliative care in the province.,,,https://www.cbc.ca/news/canada/prince-edward-island/pei-susan-doucette-palliative-care-kings-coronation-medal-1.7448550?cmp=rss,https://i.cbc.ca/1.7454435.1739026775!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/susan-doucette.jpg?im=Resize%3D620,,2025-02-09 21:00:00+00:00,cbc.ca,['general'],,
17,22eeb015-5c1d-4519-ae55-9b9ea39a2acc,Speed skater Florence Brunelle captures her 1st individual World Tour title,"Canadian speed skaters Florence Brunelle and Courtney Sarault won Short Track World Tour gold on Sunday in Tilburg, Netherlands.",,,https://www.cbc.ca/sports/olympics/winter/short-track-speed-skating/florence-brunelle-courtney-sarault-short-track-world-tour-february-9-1.7454782?cmp=rss,https://i.cbc.ca/1.7454798.1739133755!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/brunelle-florence-250209-1180.jpg?im=Resize%3D620,,2025-02-09 20:45:49+00:00,cbc.ca,['sports'],,
18,74427391-dba5-4826-9059-9fca7dd3c812,"Ecuador votes for president, with the conservative incumbent and a leftist lawyer in the lead","Ecuador’s presidential election Sunday is shaping up to be a repeat of the 2023 race, when voters chose a young, conservative millionaire over the leftist pro...",,,https://www.nbcnews.com/news/world/ecuador-presidential-election-rcna191390,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250209-luisa-gonzalez-daniel-noboa-vl-310p-da837f.jpg",,2025-02-09 20:31:20+00:00,nbcnews.com,"['general', 'politics']",,
19,b9b6bee1-5257-477a-a8b7-95e4370ad3cd,"Whistler, B.C., could see wind chill make it feel like –20 C","Dangerous wind chill conditions that triggered warnings in British Columbia's North Coast and Rocky Mountains regions have spread to parts of the southwest, jus...",,,https://www.cbc.ca/news/canada/british-columbia/environment-canada-whistler-wind-chill-1.7454781?cmp=rss,https://i.cbc.ca/1.7454783.1739130135!/cumulusImage/httpImage/image.jpg_gen/derivatives/16x9_1180/whistler-blackcomb-skiers-and-snowboarders-stock-file-generic.jpg?im=Resize%3D620,,2025-02-09 20:04:39+00:00,cbc.ca,['general'],,
20,22d162d0-9d88-4dd0-8491-2112275e84d5,Saint John police responding to fewer medical calls to test efficiency,"Saint John police are testing whether responding to fewer medical calls will improve efficiency and resource use within the force. The pilot program, which bega...",,,https://www.cbc.ca/news/canada/new-brunswick/saint-john-police-medical-calls-pilot-program-1.7454761?cmp=rss,https://i.cbc.ca/1.6409932.1739130497!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/saint-john-police-force-body-cameras.jpg?im=Resize%3D620,,2025-02-09 19:55:26+00:00,cbc.ca,['general'],,
21,67c60ee4-4a23-42dc-b819-8e0717b721a8,This popular Facebook page is a portal to 1970s and '80s NYC gay history,"A growing Facebook group, Gay New York 1970s and 80s, serves as a virtual online time machine, guiding its tens of thousands of followers back to an era many of...",,,https://www.nbcnews.com/nbc-out/out-life-and-style/popular-facebook-page-portal-1970s-80s-nyc-gay-history-rcna191231,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250209-nyc-pride-1982-vl-225p-056a8e.jpg",,2025-02-09 19:55:07+00:00,nbcnews.com,"['general', 'politics']",,
22,74f1e949-39e7-42ad-a5bd-bba1cedaf39f,New York poultry markets ordered to close temporarily as bird flu concerns spread,"The order, signed by New York Gov. Kathy Hochul Hochul on Friday, requires the markets to close for a week as facilities undergo a complete disinfection process...",,,https://www.nbcnews.com/news/us-news/bird-avian-flu-new-york-poultry-markets-ordered-close-temporarily-rcna191386,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250209-live-poultry-market-new-york-vl-210p-5d6d02.jpg",,2025-02-09 19:39:56+00:00,nbcnews.com,"['general', 'politics']",,
23,cf2a3931-175c-4917-8b62-f0e6506d3745,"Kingsbury claims dual moguls silver at Deer Valley World Cup, 8th medal this season",Canadian freestyle skier Mikaël Kingsbury returned to the World Cup podium Saturday night with a silver medal in the men's dual moguls event at Deer Valley R...,,,https://www.cbc.ca/sports/olympics/winter/freestyle-skiing/kingsbury-deer-valley-dual-moguls-silver-1.7454625?cmp=rss,https://i.cbc.ca/1.7454780.1739131146!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/2198445792.jpg?im=Resize%3D620,,2025-02-09 19:35:22+00:00,cbc.ca,['sports'],,
24,8c670107-0775-4c24-9ab3-4aea13fb3cf7,DHS Secretary Kristi Noem endorses plan to overhaul FEMA,Homeland Security Secretary Kristi Noem said Sunday that she is in favor of getting rid of the Federal Emergency Management Agency in its current form.,,,https://www.nbcnews.com/politics/politics-news/dhs-kristi-noem-endorses-plan-overhaul-fema-trump-guantanamo-bay-rcna191384,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250208-kristi-noem-wm-1034a-4a4842.jpg",,2025-02-09 19:33:02+00:00,nbcnews.com,"['general', 'politics']",,
25,14f94286-5aec-48f2-9245-40df7bdddef6,"P.E.I's Kent Oakes, who died last year, receives one of Canada's top harness racing honours","The North Wiltshire native was recognized by Standardbred Canada with the Cam Fella award during a ceremony Saturday night in Mississauga, Ont.",,,https://www.cbc.ca/news/canada/prince-edward-island/pei-kent-oakes-cam-fella-award-standardbred-canada-1.7454726?cmp=rss,https://i.cbc.ca/1.7251608.1739030996!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/kent-oakes.jpg?im=Resize%3D620,,2025-02-09 19:32:17+00:00,cbc.ca,['general'],,
26,e998aff9-501b-4f0e-89e0-288319498b90,American lawmakers are pushing back against Trump's tariffs — and they hope Canada notices,"The clock continues to wind down on U.S. President Donald Trump's next deadline for imposing sweeping tariffs on Canadian goods. In the meantime, some American ...",,,https://www.cbc.ca/news/politics/american-lawmakers-are-pushing-back-against-trump-s-tariffs-and-they-hope-canada-notices-1.7454733?cmp=rss,https://i.cbc.ca/1.7454735.1739128050!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/kentucky-governor.jpg?im=Resize%3D620,,2025-02-09 19:15:45+00:00,cbc.ca,"['general', 'politics']",,
27,238bd0b9-d6df-4214-a75c-401112b8da63,Some U.S. lawmakers are pushing back against Trump's tariffs — and they hope Canada notices,"The clock continues to wind down on U.S. President Donald Trump's next deadline for imposing sweeping tariffs on Canadian goods. In the meantime, some American ...",,,https://www.cbc.ca/news/politics/some-u-s-lawmakers-are-pushing-back-against-trump-s-tariffs-and-they-hope-canada-notices-1.7454733?cmp=rss,https://i.cbc.ca/1.7454735.1739132172!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/kentucky-governor.jpg?im=Resize%3D620,,2025-02-09 19:15:45+00:00,cbc.ca,"['general', 'politics']",,
28,ab018c79-a7fe-4bda-aacb-8f550481ab3b,China’s retaliatory tariffs on U.S. imports now in effect,"Shortly after tariffs on China imposed by U.S. President Donald Trump took effect on Tuesday, China's Finance Ministry said it would impose levies of 15 per cen...",,,https://www.cbc.ca/player/play/video/9.6641976,"https://i.cbc.ca/ais/f4a737f7-8f1f-4ad1-a639-7780cd3d8c85,1739127381073/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C106%2C2048%2C1152%29%3BResize%3D%281180%29",,2025-02-09 18:57:06+00:00,cbc.ca,['general'],,
29,d681efa6-1a09-45c0-b408-4724c15db80b,Fredrick Blake Jr. now acting as Gwich'in Grand Chief,"Frederick Blake Jr. is now acting as Gwich'in Grand Chief, but not all Gwich'in communities were represented at the board meeting where he was confirmed.",,,https://www.cbc.ca/news/canada/north/fredrick-blake-jr-acting-as-gwichin-grand-chief-1.7454734?cmp=rss,https://i.cbc.ca/1.5333648.1738363930!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_1180/frederick-blake-jr.JPG?im=Resize%3D620,,2025-02-09 18:55:21+00:00,cbc.ca,['general'],,
30,21cc0c80-4f8e-474b-bd3d-628cb43e9755,Frederick Blake Jr. now acting as Gwich'in Grand Chief,"Frederick Blake Jr. is now acting as Gwich'in Grand Chief, but not all Gwich'in communities were represented at the board meeting where he was confirmed.",,,https://www.cbc.ca/news/canada/north/frederick-blake-jr-acting-as-gwichin-grand-chief-1.7454734?cmp=rss,https://i.cbc.ca/1.5333648.1738363930!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_1180/frederick-blake-jr.JPG?im=Resize%3D620,,2025-02-09 18:55:21+00:00,cbc.ca,['general'],,
31,26c73299-2651-488e-8bae-088a168d7629,'My heart is shattered': Sister of woman found frozen believes foul play was involved,A Manitoba woman is in the pursuit of justice for her sister's death after she believes the 50-year-old was beaten up and left out to die in the Interlake regi...,,,https://www.cbc.ca/news/canada/manitoba/april-woodhouse-death-pinaymootang-first-nation-1.7454599?cmp=rss,https://i.cbc.ca/1.7454602.1739082879!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/april-woodhouse.jpg?im=Resize%3D620,,2025-02-09 18:16:08+00:00,cbc.ca,['general'],,
32,14049241-e30e-453f-9e88-58ca3dbae3d5,Back-to-back storm systems bring heavy snow and arctic temperatures to northern U.S.,"The first of these upcoming systems will start from the Plains on Monday, with the heaviest snowfall expected to drop a potential 2 to 5 inches across Kansas.",,,https://www.nbcnews.com/weather/winter-weather/storm-systems-snow-arctic-temperatures-northern-plains-midatlantic-rcna191383,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-02/250209-snow-vl-1256p-e57ce5.jpg",,2025-02-09 18:04:47+00:00,nbcnews.com,"['general', 'politics']",,
33,95acf731-4c65-43d3-80d9-30cecda0036e,Quebec police watchdog investigating police arrest that led to hospitalization in Saint-Eustache,The Bureau des enquêtes indépendantes (BEI) said police received a 911 call around 8:30 a.m. Saturday about a motorist who drove off the road and then ran...,,,https://www.cbc.ca/news/canada/montreal/bei-st-eustache-police-1.7454730?cmp=rss,https://i.cbc.ca/1.7454507.1739044036!/fileImage/httpImage/image.jpeg_gen/derivatives/16x9_1180/saint-eustache-police-station.jpeg?im=Resize%3D620,,2025-02-09 18:00:49+00:00,cbc.ca,['general'],,
34,13f0b759-b24a-40ba-8fa8-db72aaa62409,"Germany sweeps 2-woman World Cup medals, Canada's Lotholz and Walkeden 8th",Germany swept the medals again and Laura Nolte moved a big step closer to what would be her third consecutive overall World Cup title in a two-woman bobsled rac...,,,https://www.cbc.ca/sports/olympics/winter/bobsleigh/olympic-sliding-roundup-lillehammer-feb9-1.7454738?cmp=rss,https://i.cbc.ca/1.7454741.1739123631!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/nolte-laura-250118-1180.jpg?im=Resize%3D620,,2025-02-09 17:55:37+00:00,cbc.ca,['sports'],,
35,64907e8b-4950-438a-98b8-0bcb46be30a7,Brunelle claims more Canadian gold at short track speed skating World Tour stop in Tilburg,"Florence Brunelle captured a World Tour gold medal in women's 500-metre A final Sunday in Tilburg, Netherlands.",,,https://www.cbc.ca/player/play/video/9.6641928,"https://i.cbc.ca/ais/2e399548-ba8d-4a27-bc78-8c9cff61bd75,1739122781410/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C0%2C1920%2C1080%29%3BResize%3D%281180%29",,2025-02-09 17:40:54+00:00,cbc.ca,['sports'],,
36,d0675e2c-30ec-4c2e-8d2b-baf022a5c886,"Israeli military withdraws from key Gaza corridor, allowing more Palestinians to return home","Israeli forces withdrew from a key corridor in Gaza on Sunday, Israeli officials and Hamas said, the latest commitment under a tenuous ceasefire that faces a ma...",,,https://www.cbc.ca/news/world/gaza-netzarim-corridor-palestinians-israel-withdraws-1.7454724?cmp=rss,https://i.cbc.ca/1.7454729.1739120672!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/2197905447.jpg?im=Resize%3D620,,2025-02-09 17:36:06+00:00,cbc.ca,['general'],,
37,748d2da6-c917-4e64-9fb9-a22e8b9fda5a,"With over 12 million TikTok views, Mark Critch reflects on reaction to viral ‘22 Minutes’ tariffs sketch","A sketch about Trump’s tariffs from CBC comedy show 'This Hour has 22 Minutes' has raked in over 12 million views on TikTok, plus millions more on other platf...",,,https://www.cbc.ca/player/play/video/9.6640603,"https://i.cbc.ca/ais/a799b3d4-2afc-4805-b355-ce993b1a8679,1738968233890/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C0%2C1920%2C1080%29%3BResize%3D%281180%29",,2025-02-09 17:30:00+00:00,cbc.ca,['general'],,
38,a7fe224f-7a26-40b5-87fc-798d88740e53,Mount Pearl photographer snaps Canadian Geographic prize-winning photo of adorable fox cubs,Stu White’s photo of two playful fox cubs has won a place in Canadian Geographic's Canadian Photos of the Year competition.,,,https://www.cbc.ca/news/canada/newfoundland-labrador/stu-white-canadian-geographic-fox-cubs-1.7450860?cmp=rss,https://i.cbc.ca/1.7451953.1738834123!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_1180/fox-cubs.jpg?im=Resize%3D620,,2025-02-09 17:30:00+00:00,cbc.ca,['general'],,
39,0e0e8d67-8b60-4a32-b5ad-a1d5a92c8b92,Change from 'End Racism' to 'Choose Love' on Super Bowl field does not mean racism is over: advocates,"Former Blue Bomber star Willard Reaves is not one to mince words, but he thinks the NFL did just that when it decided to change a slogan that’s become a regul...",,,https://www.cbc.ca/news/canada/manitoba/super-bowl-end-racism-choose-love-1.7453893?cmp=rss,https://i.cbc.ca/1.7454034.1738965108!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_1180/nfl-inspire-change-football-end-racism.jpg?im=Resize%3D620,,2025-02-09 17:19:54+00:00,cbc.ca,['general'],,
40,c65522b3-a254-40f2-9a8d-b96006343b09,"Researchers celebrate women in STEM this week, but 'still a long way to go'","Some Alberta scientists will be marking the International Day of Women in Science in various ways this week, but all to remind young women they can do great thi...",,,https://www.cbc.ca/news/canada/edmonton/women-stem-internationa-day-women-science-1.7454699?cmp=rss,https://i.cbc.ca/1.7454703.1739117562!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_1180/alta-women-in-stem-20250209.JPG?im=Resize%3D620,,2025-02-09 17:10:48+00:00,cbc.ca,['general'],,
41,510d707e-6f0a-439c-86fe-8d3e77f64089,'Changing the world': Poet Amanda Gorman on new children's book,Amanda Gorman made her voice heard in January 2021 while reading the poem for President Joe Biden’s inauguration.,,,https://www.nbcnews.com/news/nbcblk/changing-world-poet-amanda-gorman-new-childrens-book-rcna188646,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-01/250121-amanda-gorman-ch-1624-e1e6c6.jpg",,2025-02-09 17:09:52+00:00,nbcnews.com,"['general', 'politics']",,
